city,neighbourhood,total_crimes,violent_pct,property_pct,avg_hour,night_pct,cluster,risk_level
Toronto,Leaside-Bennington (56),1284,29.12772585669782,70.87227414330218,12.505451713395638,29.205607476635514,2,Low Risk
Toronto,Little Portugal (84),1775,61.859154929577464,38.140845070422536,11.672676056338029,32.732394366197184,0,High Risk
Toronto,Long Branch (19),1291,59.64368706429125,40.35631293570876,12.175058094500388,29.821843532145625,0,High Risk
Toronto,Malvern East (146),2329,70.84585659081151,29.154143409188492,12.772005152425933,24.860455130957494,1,Medium Risk
Toronto,Malvern West (145),1678,65.31585220500597,34.68414779499404,12.70679380214541,23.06317044100119,1,Medium Risk
Toronto,Maple Leaf (29),790,49.24050632911393,50.75949367088608,12.89873417721519,26.20253164556962,2,Low Risk
Toronto,Markland Wood (12),807,46.96406443618339,53.03593556381661,12.903345724907064,24.287484510532835,2,Low Risk
Toronto,Milliken (130),3066,33.46379647749511,66.53620352250489,12.934442270058709,25.048923679060664,2,Low Risk
Toronto,Mimico-Queensway (160),4539,80.52434456928839,19.475655430711612,12.97202026878167,13.064551663361973,1,Medium Risk
Toronto,Morningside (135),1777,73.77602701181767,26.223972988182332,12.723128868880135,24.198086662915024,1,Medium Risk
Toronto,Morningside Heights (144),2234,49.77618621307073,50.22381378692927,12.409131602506715,29.319606087735007,2,Low Risk
Toronto,Moss Park (73),8390,75.68533969010727,24.31466030989273,12.111442193087008,26.22169249106079,0,High Risk
Toronto,Mount Dennis (115),1599,67.60475297060663,32.39524702939337,12.649781113195747,25.70356472795497,1,Medium Risk
Toronto,Mount Olive-Silverstone-Jamestown (2),4009,71.38937390870541,28.610626091294588,13.650286854577201,18.134198054377652,1,Medium Risk
Toronto,Mount Pleasant East (99),1172,43.9419795221843,56.058020477815695,12.762798634812286,25.426621160409557,2,Low Risk
Toronto,New Toronto (18),1796,70.32293986636972,29.677060133630288,12.14142538975501,27.783964365256125,0,High Risk
Toronto,Newtonbrook East (50),1828,52.35229759299781,47.64770240700219,12.800875273522976,22.100656455142232,1,Medium Risk
Toronto,Newtonbrook West (36),3340,56.377245508982035,43.622754491017965,12.652694610778443,19.311377245508982,1,Medium Risk
Toronto,North Riverdale (68),1190,56.72268907563025,43.27731092436975,12.473949579831933,26.638655462184875,1,Medium Risk
Toronto,North St.James Town (74),3093,76.07500808276754,23.92499191723246,12.383769802780472,23.892660847074037,0,High Risk
Toronto,North Toronto (173),1510,65.69536423841059,34.3046357615894,11.805960264900662,29.5364238410596,0,High Risk
Toronto,O'Connor-Parkview (54),2037,65.68483063328424,34.31516936671576,11.976435935198822,28.865979381443296,0,High Risk
Toronto,Oakdale-Beverley Heights (154),4708,67.11979609175872,32.88020390824129,12.88678844519966,23.109600679694136,1,Medium Risk
Toronto,Oakridge (121),2551,74.08859270874167,25.91140729125833,12.251274010192082,26.46021168169345,0,High Risk
Toronto,Oakwood Village (107),2108,65.55977229601518,34.440227703984824,12.295066413662239,28.13092979127135,0,High Risk
Toronto,Old East York (58),871,64.40872560275545,35.59127439724455,12.626865671641792,25.143513203214695,1,Medium Risk
Toronto,Palmerston-Little Italy (80),1462,57.045143638850895,42.95485636114911,11.803693570451436,30.91655266757866,0,High Risk
Toronto,Parkwoods-O'Connor Hills (149),1204,51.91029900332226,48.08970099667774,13.061461794019934,20.764119601328904,1,Medium Risk
Toronto,Pelmo Park-Humberlea (23),1666,46.21848739495798,53.78151260504202,12.675870348139256,26.710684273709482,2,Low Risk
Toronto,Playter Estates-Danforth (67),1309,64.24751718869366,35.75248281130634,12.896103896103897,23.605805958747137,1,Medium Risk
Toronto,Pleasant View (46),930,52.25806451612903,47.74193548387097,13.051612903225806,23.548387096774192,1,Medium Risk
Toronto,Princess-Rosethorn (10),1013,31.19447186574531,68.80552813425469,12.94274432379072,24.383020730503453,2,Low Risk
Toronto,Regent Park (72),2051,76.15797172111165,23.842028278888346,12.28181374939054,24.76840565577767,0,High Risk
Toronto,Rexdale-Kipling (4),1449,55.41752933057281,44.582470669427195,13.174603174603174,22.981366459627328,1,Medium Risk
Toronto,Rockcliffe-Smythe (111),2530,63.91304347826087,36.08695652173913,12.942687747035572,23.47826086956522,1,Medium Risk
Toronto,Roncesvalles (86),2225,61.39325842696629,38.60674157303371,11.974831460674157,28.584269662921347,0,High Risk
Toronto,Rosedale-Moore Park (98),3315,56.10859728506787,43.89140271493213,13.101960784313725,21.930618401206637,1,Medium Risk
Toronto,Runnymede-Bloor West Village (89),988,51.11336032388664,48.88663967611336,12.482793522267206,28.13765182186235,2,Low Risk
Toronto,Rustic (28),1169,68.34901625320788,31.65098374679213,12.546621043627031,27.54491017964072,0,High Risk
Toronto,Scarborough Village (139),2274,70.36059806508355,29.63940193491645,12.922603342128408,24.05452946350044,1,Medium Risk
Toronto,South Eglinton-Davisville (174),1556,60.411311053984576,39.588688946015424,12.088046272493573,26.735218508997427,0,High Risk
Toronto,South Parkdale (85),3610,71.13573407202216,28.86426592797784,12.368975069252077,24.84764542936288,0,High Risk
Toronto,South Riverdale (70),4482,58.768406961178044,41.231593038821956,12.067380633645694,29.205711735832217,0,High Risk
Toronto,St Lawrence-East Bayfront-The Islands (166),4802,70.42898792169929,29.571012078300708,12.617451062057476,25.489379425239484,0,High Risk
Toronto,St.Andrew-Windfields (40),1958,36.414708886619,63.585291113381004,13.371807967313586,21.859039836567927,2,Low Risk
Toronto,Steeles (116),1242,38.486312399355874,61.51368760064412,13.049919484702093,21.4170692431562,2,Low Risk
Toronto,Stonegate-Queensway (16),2338,46.49272882805817,53.50727117194183,12.551753635585971,27.245508982035926,2,Low Risk
Toronto,Tam O'Shanter-Sullivan (118),2280,56.40350877192982,43.59649122807018,12.810964912280701,23.37719298245614,1,Medium Risk
Toronto,Taylor-Massey (61),1724,71.17169373549885,28.82830626450116,12.948375870069606,21.925754060324827,1,Medium Risk
Toronto,The Beaches (63),1948,55.85215605749486,44.14784394250513,12.690451745379876,26.642710472279262,1,Medium Risk
Toronto,Thistletown-Beaumond Heights (3),1244,54.18006430868167,45.81993569131833,13.053054662379422,24.839228295819936,1,Medium Risk
Toronto,Thorncliffe Park (55),1857,62.95099623047927,37.04900376952073,13.173397953688745,19.978459881529346,1,Medium Risk
Toronto,Trinity-Bellwoods (81),2371,58.45634753268663,41.54365246731337,11.2686630113876,34.078447912273305,0,High Risk
Toronto,University (79),2067,62.699564586357035,37.300435413642965,11.889211417513303,28.10836961780358,0,High Risk
Toronto,Victoria Village (43),1811,62.06515737161789,37.93484262838211,12.598564329099945,24.461623412479295,1,Medium Risk
Toronto,Wellington Place (164),6150,66.58536585365854,33.41463414634146,9.536260162601627,47.6260162601626,0,High Risk
Toronto,West Hill (136),5317,76.11435019747978,23.885649802520216,12.54147075418469,23.37784464923829,0,High Risk
Toronto,West Humber-Clairville (1),10032,33.61244019138756,66.38755980861244,12.338317384370017,28.080143540669855,2,Low Risk
Toronto,West Queen West (162),1656,63.40579710144928,36.594202898550726,11.641304347826088,29.589371980676326,0,High Risk
Toronto,West Rouge (143),1504,52.92553191489362,47.07446808510639,12.577127659574469,24.20212765957447,1,Medium Risk
Toronto,Westminster-Branson (35),1895,57.889182058047496,42.110817941952504,13.044327176781003,20.949868073878626,1,Medium Risk
Toronto,Weston (113),3325,65.77443609022556,34.225563909774436,12.476390977443609,27.12781954887218,0,High Risk
Toronto,Weston-Pelham Park (91),1424,70.2247191011236,29.775280898876407,12.844101123595506,25.140449438202246,1,Medium Risk
Toronto,Wexford/Maryvale (119),4518,56.17529880478087,43.82470119521912,12.63302346170872,24.19212040725985,1,Medium Risk
Toronto,Willowdale West (37),1648,63.10679611650486,36.89320388349515,12.64866504854369,24.75728155339806,1,Medium Risk
Toronto,Willowridge-Martingrove-Richview (7),2086,49.664429530201346,50.33557046979866,13.08437200383509,23.29817833173538,2,Low Risk
Toronto,Woburn North (142),3048,65.5511811023622,34.44881889763779,12.34219160104987,26.443569553805773,0,High Risk
Toronto,Woodbine Corridor (64),1362,66.59324522760646,33.40675477239354,11.885462555066079,28.634361233480178,0,High Risk
Toronto,Woodbine-Lumsden (60),604,65.06622516556291,34.93377483443709,12.990066225165563,21.52317880794702,1,Medium Risk
Toronto,Wychwood (94),1433,58.6880669923238,41.3119330076762,12.539427773900908,26.86671318911375,1,Medium Risk
Toronto,Yonge-Bay Corridor (170),6788,74.38126104890983,25.618738951090158,12.3939304655274,22.038892162639954,0,High Risk
Toronto,Yonge-Doris (151),1453,64.55609084652443,35.443909153475566,13.354439091534756,22.161046111493462,1,Medium Risk
Toronto,Yonge-Eglinton (100),1500,62.93333333333333,37.06666666666666,13.034666666666666,21.933333333333334,1,Medium Risk
Toronto,Yonge-St.Clair (97),825,45.33333333333333,54.666666666666664,12.241212121212122,28.121212121212118,2,Low Risk
Toronto,York University Heights (27),7142,55.32063847661719,44.6793615233828,12.267852142257071,26.54718566227947,0,High Risk
Toronto,Yorkdale-Glen Park (31),4015,51.108343711083435,48.891656288916565,13.17036114570361,21.56911581569116,1,Medium Risk
Vancouver,Arbutus Ridge,3073,3.9049788480312397,77.38366417181906,12.761145460462089,22.225837943377808,0,Medium Risk
Vancouver,Central Business District,102862,2.9913865178588788,78.4701833524528,12.85180144270965,19.789621045672842,2,High Risk
Vancouver,Dunbar-Southlands,3717,4.035512510088781,76.32499327414581,12.899919289749798,23.594296475652406,0,Medium Risk
Vancouver,Fairview,17890,3.655673560648407,81.45891559530463,12.85466741196199,19.032979318054778,0,Medium Risk
Vancouver,Grandview-Woodland,16931,8.22160533931841,71.70870001771897,12.083279192014647,26.696592050085645,0,Medium Risk
Vancouver,Hastings-Sunrise,10972,5.741888443310244,73.05869485964273,12.493528982865476,26.193948231862922,0,Medium Risk
Vancouver,Kensington-Cedar Cottage,14718,6.359559722788423,73.44747927707569,12.373488245685555,25.173257236037504,0,Medium Risk
Vancouver,Kerrisdale,4040,3.787128712871287,77.84653465346535,12.820544554455445,22.202970297029704,0,Medium Risk
Vancouver,Killarney,5329,7.599924939012947,72.5839744792644,12.124225933571026,27.397260273972602,0,Medium Risk
Vancouver,Kitsilano,14568,3.7342119714442616,80.18259198242724,13.085255354200989,21.444261394838,0,Medium Risk
